iter	MultiClass
0	1.098560265
1	1.098492609
2	1.098432934
3	1.098353012
4	1.098315003
5	1.098253038
6	1.098196403
7	1.098147576
8	1.098094634
9	1.0980579
10	1.097976917
11	1.097950476
12	1.097912161
13	1.097859051
14	1.097819306
15	1.097771093
16	1.097692561
17	1.097655636
18	1.097601862
19	1.097531258
20	1.097470907
21	1.097425308
22	1.097374348
23	1.097334578
24	1.097272584
25	1.097235721
26	1.097177713
27	1.097153764
28	1.097099293
29	1.097071674
30	1.097004398
31	1.096956456
32	1.096915584
33	1.096886816
34	1.096844896
35	1.096802618
36	1.096768783
37	1.096721686
38	1.096696335
39	1.096669666
40	1.096632211
41	1.096575449
42	1.096518914
43	1.096465923
44	1.096437084
45	1.096388785
46	1.09635297
47	1.096290376
48	1.096261933
49	1.096224701
50	1.096169576
51	1.096114859
52	1.096082825
53	1.096034111
54	1.096004213
55	1.095977183
56	1.095942718
57	1.095906486
58	1.09588023
59	1.095848968
60	1.095815759
61	1.09577269
62	1.095736252
63	1.095708191
64	1.095657997
65	1.095621015
66	1.095577843
67	1.095551562
68	1.095518278
69	1.095491949
70	1.095465707
71	1.095446317
72	1.095389963
73	1.095335349
74	1.095282583
75	1.095227912
76	1.095184177
77	1.095135519
78	1.095101836
79	1.095080103
80	1.095052462
81	1.095022213
82	1.094982138
83	1.094955388
84	1.09493094
85	1.094898969
86	1.094882247
87	1.094861671
88	1.094821911
89	1.094768646
90	1.09473373
91	1.094670641
92	1.094662233
93	1.094615775
94	1.094576809
95	1.094534853
96	1.094497516
97	1.094463156
98	1.094446641
99	1.094413558
100	1.094400947
101	1.094370019
102	1.09431597
103	1.09428581
104	1.094252134
105	1.094226281
106	1.094214943
107	1.09419197
108	1.094151724
109	1.094114458
110	1.094082597
111	1.094052969
112	1.094029933
113	1.094016011
114	1.093986783
115	1.093958829
116	1.093926681
117	1.093881295
118	1.093849994
119	1.093813291
120	1.093779643
121	1.0937319
122	1.093686
123	1.093658633
124	1.093616186
125	1.093577779
126	1.093548858
127	1.093517391
128	1.093494179
129	1.093457278
130	1.093430841
131	1.093416567
132	1.09338788
133	1.09336339
134	1.093324137
135	1.093290947
136	1.093273911
137	1.093253451
138	1.093214555
139	1.093190819
140	1.093168173
141	1.093121168
142	1.093080695
143	1.093054419
144	1.093032219
145	1.093011524
146	1.092995488
147	1.092963403
148	1.09294941
149	1.092910212
150	1.092867945
151	1.092825304
152	1.09279761
153	1.092776096
154	1.092739177
155	1.092711532
156	1.092690294
157	1.09267199
158	1.092647655
159	1.092617641
160	1.092579947
161	1.092562342
162	1.092550451
163	1.09252169
164	1.092480562
165	1.092439447
166	1.092374117
167	1.0923546
168	1.09232646
169	1.092290224
170	1.092257401
171	1.092240089
172	1.092211157
173	1.092165765
174	1.092138492
175	1.0920926
176	1.092053189
177	1.092037273
178	1.092026794
179	1.09198315
180	1.091938119
181	1.091894273
182	1.09186104
183	1.091810365
184	1.091757398
185	1.091730701
186	1.091684547
187	1.091652066
188	1.091612556
189	1.091594899
190	1.091536603
191	1.091512372
192	1.091495752
193	1.091436139
194	1.091412377
195	1.091367748
196	1.091342771
197	1.091314073
198	1.091278555
199	1.091242304
