iter	Passed	Remaining
0	4	848
1	8	817
2	11	761
3	14	734
4	18	709
5	21	704
6	24	689
7	28	675
8	31	671
9	35	666
10	38	659
11	41	648
12	44	639
13	47	632
14	50	628
15	54	626
16	57	620
17	60	613
18	64	611
19	67	605
20	70	604
21	74	600
22	77	595
23	80	590
24	83	585
25	86	581
26	90	577
27	93	572
28	96	568
29	99	564
30	102	561
31	106	556
32	109	552
33	112	548
34	115	544
35	118	539
36	121	536
37	124	531
38	127	527
39	131	524
40	134	520
41	137	517
42	140	513
43	143	510
44	146	505
45	150	502
46	153	500
47	156	495
48	159	491
49	162	487
50	165	484
51	169	481
52	172	478
53	176	476
54	179	473
55	182	470
56	186	467
57	189	463
58	192	460
59	196	457
60	199	455
61	203	452
62	206	449
63	209	446
64	213	442
65	216	438
66	219	435
67	222	431
68	225	428
69	228	424
70	232	421
71	235	418
72	239	415
73	242	413
74	246	410
75	249	407
76	253	404
77	257	402
78	260	399
79	264	396
80	268	393
81	271	390
82	275	388
83	278	385
84	282	382
85	286	379
86	290	376
87	293	373
88	296	369
89	299	366
90	303	362
91	306	359
92	309	356
93	312	352
94	316	349
95	319	346
96	322	342
97	325	339
98	329	335
99	332	332
100	335	329
101	338	325
102	342	322
103	345	318
104	348	315
105	351	312
106	355	308
107	358	305
108	361	301
109	365	298
110	368	295
111	371	291
112	374	288
113	377	284
114	380	281
115	384	278
116	387	274
117	390	271
118	393	267
119	396	264
120	399	260
121	402	257
122	406	254
123	409	250
124	412	247
125	415	244
126	418	240
127	421	237
128	424	233
129	428	230
130	431	227
131	434	223
132	437	220
133	440	217
134	443	213
135	447	210
136	450	207
137	453	203
138	456	200
139	459	197
140	463	193
141	466	190
142	469	187
143	473	183
144	476	180
145	479	177
146	482	174
147	485	170
148	488	167
149	492	164
150	495	160
151	498	157
152	501	154
153	504	150
154	507	147
155	511	144
156	514	140
157	517	137
158	520	134
159	524	131
160	527	127
161	530	124
162	533	121
163	536	117
164	539	114
165	542	111
166	545	107
167	548	104
168	551	101
169	555	97
170	558	94
171	561	91
172	564	88
173	567	84
174	570	81
175	573	78
176	577	74
177	580	71
178	583	68
179	586	65
180	589	61
181	593	58
182	596	55
183	599	52
184	602	48
185	605	45
186	609	42
187	612	39
188	615	35
189	618	32
190	622	29
191	625	26
192	628	22
193	631	19
194	634	16
195	637	13
196	640	9
197	644	6
198	647	3
199	651	0
